28
csv_old.arc,[COM3D2 Compatible Update Patch]
csv_vp001.arc,[COM3D2 Append] [Visual Pack for Disc] [*CM3D2 VP]
parts_shop014.arc,[Pre-Order Bonus 01] [Fabulous Madame]
parts_shop018.arc,[Pre-Order Bonus 02] [Cowgirl Set]
parts_shop020.arc,[Pre-Order Bonus 03] [Melonchan Costume Set]
parts_shop019.arc,[Pre-Order Bonus 04] [Highleg Knight Set]
parts_shop017.arc,[Pre-Order Bonus 05] [Fancy Angel Set]
parts_shop016.arc,[Pre-Order Bonus 06] [Riding Hood Set]
parts_shop011.arc,[Pre-Order Bonus 07] [Frau Maid]
parts_shop021.arc,[Pre-Order Bonus] [GP01] [Sexy Tail Dress Set]
parts_shop022.arc,[Pre-Order Bonus] [Nutaku]
csv_soukiyoyaku.arc,[Pre-Order Bonus] [soukiyoyaku]
parts_nijiyomec.arc,[DLSite Bonus] [Nijiyomechan Costume Set]
csv_3d21reserve.arc,[Grade Up Reservation Campaign Vol.1]
csv_3d21reserve2.arc,[Grade Up Reservation Campaign Vol.2]
voice_ordermade001.arc,[Transfer Pack Vol.1] [Yandere]
voice_ordermade002.arc,[Transfer Pack Vol.2] [Oneechan]
voice_ordermade003.arc,[Transfer Pack Vol.3] [Sadist]
voice_ordermade004.arc,[Transfer Pack Vol.4] [Genki]
voice_ordermade001_solo.arc,[Transfer Add-on Pack Vol.1] [Yandere]
voice_ordermade002_solo.arc,[Transfer Add-on Pack Vol.2] [Oneechan]
voice_ordermade003_solo.arc,[Transfer Add-on Pack Vol.3] [Sadist]
voice_ordermade004_solo.arc,[Transfer Add-on Pack Vol.4] [Genki]
voice_personal_om001.arc,[Personality Pack Vol.1] [Bookworm]
voice_personal_om002.arc,[Personality Pack Vol.2] [Koakuma]
voice_personal_om003.arc,[Personality Pack Vol.3] [Anesan]
voice_personal_om004.arc,[Personality Pack Vol.4] [Secretary]
voice_personal_om005.arc,[Personality Pack Vol.5] [Imouto]
voice_personal_om006.arc,[Personality Pack Vol.6] [Wary]
voice_personal_om007.arc,[Personality Pack Vol.7] [Ojousama]
voice_personal_om008.arc,[Personality Pack Vol.8] [Childhood Friend]
voice_personal_om001plus.arc,[Personality Add-on] [Bookworm]
voice_personal_om002plus.arc,[Personality Add-on] [Koakuma]
voice_personal_om003plus.arc,[Personality Add-on] [Anesan]
voice_personal_om004plus.arc,[Personality Add-on] [Secretary]
voice_personal_om005plus.arc,[Personality Add-on] [Imouto]
